timestamp,intersection_id,vertical_waiting,horizontal_waiting,current_vertical_light,current_horizontal_light,action_taken,reward
1756180796.938888,main,27,44,green,red,stay,0
1756180797.1549244,main,27,44,green,red,stay,0
1756180797.3484085,main,27,44,green,red,stay,0
1756180797.555286,main,27,44,green,red,stay,0
1756180797.754798,main,27,44,green,red,stay,0
1756180797.9542089,main,27,44,green,red,stay,0
1756180798.1544545,main,27,44,green,red,stay,0
1756180798.370015,main,27,44,green,red,stay,0
1756180798.5976186,main,27,44,green,red,stay,0
1756180798.798476,main,27,44,green,red,stay,0
1756180798.9972253,main,27,44,green,red,stay,0
1756180799.213891,main,27,44,green,red,stay,0
1756180799.413901,main,27,44,green,red,stay,0
1756180799.6309788,main,27,44,green,red,stay,0
1756180799.8344052,main,27,44,green,red,stay,0
1756180800.0439582,main,27,44,green,red,stay,0
1756180800.630414,main,27,44,green,red,stay,0
1756180800.8442445,main,27,44,green,red,stay,0
1756180801.0347683,main,27,44,green,red,stay,0
1756180801.26005,main,27,44,green,red,stay,0
1756180801.4747195,main,27,44,green,red,stay,0
1756180801.6835744,main,27,44,green,red,stay,0
1756180802.6820018,main,27,44,green,red,stay,0
1756180802.9239767,main,27,44,green,red,stay,0
1756180803.1556823,main,27,44,green,red,stay,0
1756180803.3708448,main,27,44,green,red,stay,0
1756180803.5863795,main,27,44,green,red,stay,0
1756181240.3873851,main,0,29,green,red,stay,0
1756181242.1171572,main,0,29,green,red,stay,0
1756181242.3161793,main,0,29,green,red,stay,0
1756181242.5086663,main,0,29,green,red,stay,0
1756181242.7089086,main,0,29,green,red,stay,0
1756181242.999862,main,0,29,green,red,stay,0
1756181243.2618768,main,0,29,green,red,stay,0
1756181243.7097316,main,0,29,green,red,stay,0
1756181244.0666358,main,0,29,green,red,stay,0
1756181244.766737,main,0,29,green,red,stay,0
1756181245.4987159,main,0,29,green,red,stay,0
1756181245.7319818,main,0,29,green,red,stay,0
1756181245.9087002,main,0,29,green,red,stay,0
1756181246.093049,main,0,29,green,red,stay,0
1756181246.2775323,main,0,29,green,red,stay,0
1756181246.4775631,main,0,29,green,red,stay,0
1756181246.6827807,main,0,29,green,red,stay,0
1756181246.88264,main,0,29,green,red,stay,0
1756181247.0667603,main,0,29,green,red,stay,0
1756181247.282629,main,0,29,green,red,stay,0
1756181247.4659219,main,0,29,green,red,stay,0
1756181248.1983435,main,0,29,green,red,stay,0
1756181248.682823,main,0,29,green,red,stay,0
1756181252.563957,main,0,29,green,red,stay,0
1756181252.7804255,main,0,29,green,red,stay,0
1756181253.1629717,main,0,29,green,red,stay,0
1756181255.6166463,main,0,29,green,red,stay,0
1756181273.8899364,main,0,29,green,red,stay,0
1756181607.766068,main,0,23,green,red,stay,0
1756181608.9589925,main,0,23,green,red,stay,0
1756181609.1419055,main,0,23,green,red,stay,0
1756181609.3603907,main,0,23,green,red,stay,0
1756181609.5464418,main,0,23,green,red,stay,0
1756181609.762131,main,0,23,green,red,stay,0
1756181609.9457161,main,0,23,green,red,stay,0
1756181610.2515323,main,0,23,green,red,stay,0
1756181610.4427214,main,0,23,green,red,stay,0
1756181610.6589382,main,0,23,green,red,stay,0
1756181610.8599126,main,0,23,green,red,stay,0
1756181611.0523746,main,0,23,green,red,stay,0
1756181611.2435665,main,0,23,green,red,stay,0
1756181611.4682977,main,0,23,green,red,stay,0
1756181611.6505435,main,0,23,green,red,stay,0
1756181611.8421476,main,0,23,green,red,stay,0
1756181612.0526915,main,0,23,green,red,stay,0
1756181612.2492065,main,0,23,green,red,stay,0
1756181612.7394338,main,0,23,green,red,stay,0
1756181612.962482,main,0,23,green,red,stay,0
1756181613.1576512,main,0,23,green,red,stay,0
1756181613.4965427,main,0,23,green,red,stay,0
1756181613.757111,main,0,23,green,red,stay,0
1756181614.0060418,main,0,23,green,red,stay,0
1756181618.4847505,main,0,23,green,red,stay,0
1756181623.706464,main,2,24,green,red,stay,0
1756181623.9053888,main,2,24,green,red,stay,0
1756181627.371244,main,2,24,green,red,stay,0
